gene	log2_TE
YDR352W	-0.1293
YDR353W	1.5937
YDR354W	0.2743
YDR356W	0.1298
YDR357C	-0.4063
YDR358W	0.2947
YDR359C	-0.8497
YDR361C	0.7392
YDR362C	-0.6174
YDR363W	-0.5460
YDR363W-A	1.5297
YDR364C	-0.9708
YDR365C	-0.1539
YDR367W	-0.3079
YDR368W	1.1562
YDR369C	-0.3492
YDR370C	-0.9644
YDR371W	-0.2933
YDR372C	0.0778
YDR373W	0.3784
YDR374W-A	-0.1429
YDR375C	-0.4917
YDR376W	-0.4428
YDR377W	1.1655
YDR378C	0.7801
YDR379C-A	0.4420
YDR379W	-0.6740
YDR380W	-0.2670
YDR381C-A	0.0779
YDR381W	1.5616
YDR382W	1.9074
YDR383C	-0.4862
YDR384C	1.1069
YDR386W	-0.2481
YDR387C	-1.0952
YDR388W	0.5300
YDR389W	-0.7914
YDR390C	-0.2762
YDR391C	-0.1946
YDR392W	0.4399
YDR393W	-0.9233
YDR394W	0.6702
YDR395W	0.0853
YDR397C	3.2206
YDR398W	0.2524
YDR399W	0.8506
YDR400W	-0.0460
YDR404C	0.4641
YDR405W	0.4502
YDR406W	-0.9270
YDR407C	-1.3320
YDR408C	0.4838
YDR409W	-0.6669
YDR410C	-0.2645
YDR411C	0.0626
YDR412W	3.1968
YDR414C	-0.8862
YDR415C	0.6986
YDR416W	-0.5444
YDR418W	3.2762
YDR419W	-0.4466
YDR420W	-1.4095
YDR421W	-0.9093
YDR422C	-0.7682
YDR423C	-0.3309
YDR424C	0.8259
YDR425W	0.5995
YDR427W	0.4341
YDR428C	-0.1902
YDR429C	1.1018
YDR430C	-0.1787
YDR432W	2.5922
YDR434W	-0.1667
YDR435C	-0.4116
YDR436W	-0.3591
YDR437W	0.1024
YDR439W	-0.3166
YDR440W	-0.6130
YDR441C	-0.4086
YDR443C	-1.0120
YDR444W	-0.8026
YDR447C	1.5060
YDR448W	-0.2306
YDR449C	0.1804
YDR450W	2.1484
YDR451C	0.4400
YDR452W	-0.5590
YDR453C	0.2026
YDR454C	1.1942
YDR456W	-0.1448
YDR457W	-1.2375
YDR458C	-0.4040
YDR459C	-1.0356
YDR460W	-0.0159
YDR461C-A	0.6464
YDR461W	2.4113
YDR462W	0.9470
YDR463W	0.3230
YDR464W	-0.6158
YDR465C	0.3573
YDR466W	-0.4956
YDR468C	1.2255
YDR469W	-0.0482
YDR470C	-0.1253
YDR471W	1.8969
YDR472W	0.2182
YDR473C	0.0002
YDR475C	-0.9041
YDR476C	0.1778
YDR477W	0.1654
YDR478W	-0.2054
YDR479C	-0.7612
YDR480W	-0.0820
YDR481C	0.3526
YDR482C	0.4631
YDR483W	0.2031
YDR484W	-0.3523
YDR485C	-0.3549
YDR486C	0.5966
YDR487C	0.8242
YDR488C	-0.9081
YDR489W	-0.2787
YDR490C	-0.6236
YDR492W	0.8264
YDR493W	0.8848
YDR494W	0.2174
YDR495C	-0.4426
YDR496C	0.5506
YDR497C	-0.5385
YDR498C	-0.4047
YDR499W	-0.5846
YDR500C	1.6473
YDR501W	-0.1919
YDR502C	1.2923
YDR503C	-0.6618
YDR505C	-0.5802
YDR506C	-0.2863
