ENSG,Degradation_rates
YOR246C,0.00169381
YGR244C,0.00169275
YKR014C,0.00169238
YOR205C,0.00169042
YPR047W,0.00169029
YJL019W,0.00169014
YGL025C,0.00168996
YCR075C,0.00168957
YGL150C,0.00168943
YBL030C,0.00168862
YMR227C,0.00168849
YCR086W,0.00168801
YGR150C,0.00168778
YIL149C,0.00168719
YOR091W,0.00168634
YMR311C,0.00168531
YJR062C,0.00168216
YDL104C,0.00168207
YMR172W,0.00168182
YNL218W,0.00168141
YOR370C,0.00168121
YLR020C,0.00168116
YMR213W,0.00168111
YBL046W,0.00168087
YDL167C,0.00168076
YDR397C,0.00168014
YBR223C,0.00167997
YNR015W,0.00167896
YBR015C,0.00167682
YPR020W,0.00167617
YDR379W,0.00167594
YPL215W,0.00167547
YOR213C,0.00167518
YCR083W,0.00167448
YGL181W,0.00167291
YMR117C,0.00167276
YGL144C,0.00167218
YPL023C,0.00167084
YNL090W,0.00167017
YPR098C,0.00166912
YHL029C,0.00166864
YML046W,0.00166861
YAL001C,0.00166769
YMR083W,0.00166686
YIR038C,0.00166648
YNL091W,0.00166544
YDR194C,0.00166514
YBL080C,0.00166508
YPL049C,0.00166493
YMR059W,0.00166441
YOR163W,0.00166209
YDR296W,0.00166117
YDL160C-A,0.00165989
YER159C,0.00165854
YNL002C,0.00165845
YMR282C,0.00165811
YGR091W,0.00165709
YDR153C,0.00165602
YJR002W,0.00165562
YKR010C,0.00165488
YPL016W,0.00165488
YCL059C,0.00165414
YGL061C,0.00165356
YER061C,0.00165289
YBR230C,0.00165224
YPR173C,0.00165071
YPL013C,0.00165051
YNL151C,0.00165003
YGR222W,0.00164938
YDL090C,0.00164841
YCR087C-A,0.00164791
YOR101W,0.00164731
YBR058C-A,0.00164661
YNL148C,0.00164606
YDL220C,0.00164581
YDR412W,0.00164578
YHR110W,0.00164431
YOR111W,0.00164402
YPR088C,0.00164388
YLR093C,0.00164359
YKL063C,0.00164306
YNL215W,0.00164304
YFR005C,0.00164251
YPR032W,0.00164131
YIL157C,0.00164119
YLR083C,0.00164114
YLL009C,0.00164107
YJL097W,0.00164007
YPR048W,0.00163951
YBL006C,0.00163940
YDR119W,0.00163905
YPR057W,0.00163897
YGR237C,0.00163892
YOR336W,0.00163861
YAL044C,0.00163855
YOR118W,0.00163670
YML098W,0.00163655
YNR012W,0.00163638
YGR271C-A,0.00163584
YDR359C,0.00163476
YDL019C,0.00163403
YMR281W,0.00163385
YDR465C,0.00163272
YPL180W,0.00163255
YDL046W,0.00163200
YMR318C,0.00163196
YDL098C,0.00163159
YNL023C,0.00163156
YBR152W,0.00163141
YHR182W,0.00162990
YAL022C,0.00162888
YGR038W,0.00162854
YPR156C,0.00162853
YGR231C,0.00162666
YNL191W,0.00162587
YML034W,0.00162583
YBR205W,0.00162561
